date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:58:48	9737/9737	---M--	200	added ('OK')	text/plain	etag:%222609-5b7af3e2f4b80%22	https://tiengnhatcolam.vn/robots.txt		(from )
10:58:48	97089/97089	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2003:58:49%20GMT	https://tiengnhatcolam.vn/?fbclid=IwAR0Y5WP3AOd3vHvIfDrsGxPqIEBbLyBq7r0a83idEAMhJ-2xFIyQYwuObKg	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/indexbf65.html	(from )
10:58:49	140936/140936	---M--	200	added ('OK')	text/css	etag:%2222688-579c569142780%22	https://tiengnhatcolam.vn/css/bootstrap.min.css	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/css/bootstrap.min.css	(from https://tiengnhatcolam.vn/?fbclid=IwAR0Y5WP3AOd3vHvIfDrsGxPqIEBbLyBq7r0a83idEAMhJ-2xFIyQYwuObKg)
10:58:49	31000/31000	---M--	200	added ('OK')	text/css	etag:%227918-579c569142780%22	https://tiengnhatcolam.vn/css/font-awesome.min.css	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/css/font-awesome.min.css	(from https://tiengnhatcolam.vn/?fbclid=IwAR0Y5WP3AOd3vHvIfDrsGxPqIEBbLyBq7r0a83idEAMhJ-2xFIyQYwuObKg)
10:58:49	1776/1776	---M--	200	added ('OK')	text/css	etag:%226f0-579c569142780%22	https://tiengnhatcolam.vn/css/slick.css	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/css/slick.css	(from https://tiengnhatcolam.vn/?fbclid=IwAR0Y5WP3AOd3vHvIfDrsGxPqIEBbLyBq7r0a83idEAMhJ-2xFIyQYwuObKg)
10:58:49	3158/3158	---M--	200	added ('OK')	text/css	etag:%22c56-579c569142780%22	https://tiengnhatcolam.vn/css/slick-theme.css	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/css/slick-theme.css	(from https://tiengnhatcolam.vn/?fbclid=IwAR0Y5WP3AOd3vHvIfDrsGxPqIEBbLyBq7r0a83idEAMhJ-2xFIyQYwuObKg)
10:58:49	55461/55461	---M--	200	added ('OK')	text/css	etag:%22d8a5-5e8b1b33d8a66%22	https://tiengnhatcolam.vn/css/styles.css	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/css/styles.css	(from https://tiengnhatcolam.vn/?fbclid=IwAR0Y5WP3AOd3vHvIfDrsGxPqIEBbLyBq7r0a83idEAMhJ-2xFIyQYwuObKg)
10:58:50	3184/3184	---M--	200	added ('OK')	text/css	etag:%22c70-57b9373c12500%22	https://tiengnhatcolam.vn/owl-carousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/owl-carousel/assets/owl.carousel.min.css	(from https://tiengnhatcolam.vn/?fbclid=IwAR0Y5WP3AOd3vHvIfDrsGxPqIEBbLyBq7r0a83idEAMhJ-2xFIyQYwuObKg)
10:58:50	846/846	---M--	200	added ('OK')	text/css	etag:%2234e-57b9373c12500%22	https://tiengnhatcolam.vn/owl-carousel/assets/owl.theme.default.min.css	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/owl-carousel/assets/owl.theme.default.min.css	(from https://tiengnhatcolam.vn/?fbclid=IwAR0Y5WP3AOd3vHvIfDrsGxPqIEBbLyBq7r0a83idEAMhJ-2xFIyQYwuObKg)
10:58:50	3997/3997	---M--	200	added ('OK')	image/png	etag:%22f9d-57b412dbcec80%22	https://tiengnhatcolam.vn/storage/settings/November2018/09BdGPxJ0MBY44gTRIEe.png	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/storage/settings/November2018/09BdGPxJ0MBY44gTRIEe.png	(from https://tiengnhatcolam.vn/?fbclid=IwAR0Y5WP3AOd3vHvIfDrsGxPqIEBbLyBq7r0a83idEAMhJ-2xFIyQYwuObKg)
10:58:51	48805/48805	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2003:58:51%20GMT	https://tiengnhatcolam.vn/khoa-hoc	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/khoa-hoc.html	(from https://tiengnhatcolam.vn/?fbclid=IwAR0Y5WP3AOd3vHvIfDrsGxPqIEBbLyBq7r0a83idEAMhJ-2xFIyQYwuObKg)
10:58:51	39702/39702	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2003:58:51%20GMT	https://tiengnhatcolam.vn/khoa-hoc/don	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/khoa-hoc/don.html	(from https://tiengnhatcolam.vn/?fbclid=IwAR0Y5WP3AOd3vHvIfDrsGxPqIEBbLyBq7r0a83idEAMhJ-2xFIyQYwuObKg)
10:58:51	97089/97089	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2003:58:51%20GMT	https://tiengnhatcolam.vn/	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/index.html	(from https://tiengnhatcolam.vn/?fbclid=IwAR0Y5WP3AOd3vHvIfDrsGxPqIEBbLyBq7r0a83idEAMhJ-2xFIyQYwuObKg)
10:58:52	31856/31856	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2003:58:52%20GMT	https://tiengnhatcolam.vn/khoa-hoc/combo	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/khoa-hoc/combo.html	(from https://tiengnhatcolam.vn/?fbclid=IwAR0Y5WP3AOd3vHvIfDrsGxPqIEBbLyBq7r0a83idEAMhJ-2xFIyQYwuObKg)
10:58:52	29768/29768	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2003:58:52%20GMT	https://tiengnhatcolam.vn/tin-tuc	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/tin-tuc.html	(from https://tiengnhatcolam.vn/?fbclid=IwAR0Y5WP3AOd3vHvIfDrsGxPqIEBbLyBq7r0a83idEAMhJ-2xFIyQYwuObKg)
10:58:52	31287/31287	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2003:58:53%20GMT	https://tiengnhatcolam.vn/danh-muc/1-kinh-nghiem-hoc-tieng-nhat	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/danh-muc/1-kinh-nghiem-hoc-tieng-nhat.html	(from https://tiengnhatcolam.vn/?fbclid=IwAR0Y5WP3AOd3vHvIfDrsGxPqIEBbLyBq7r0a83idEAMhJ-2xFIyQYwuObKg)
10:58:52	31223/31223	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2003:58:53%20GMT	https://tiengnhatcolam.vn/danh-muc/2-van-hoa-nhat-ban	C:/My%20Web%20Sites/Code/tiengnhatcolam.vn/danh-muc/2-van-hoa-nhat-ban.html	(from https://tiengnhatcolam.vn/?fbclid=IwAR0Y5WP3AOd3vHvIfDrsGxPqIEBbLyBq7r0a83idEAMhJ-2xFIyQYwuObKg)
